questionText,clean_answer
Ola,Hi there. How are you feeling today?
Ola,Great to see you. How do you feel currently?
Ola,Hello there. Glad to see you're back. What's going on in your world right now?
Good morning,Good morning. I hope you had a good night's sleep. How are you feeling today? 
Good afternoon,Good afternoon. How is your day going?
Good evening,Good evening. How has your day been?
Good night,Good night. Get some proper sleep
Good night,Good night. Sweet dreams.
Bye,See you later.
Bye,Have a nice day.
Bye,Bye! Come back again.
Bye,I'll see you soon.
See you later,See you later.
See you later,Have a nice day.
See you later,Bye! Come back again.
See you later,I'll see you soon.
Goodbye,See you later.
Goodbye,Have a nice day.
Goodbye,Bye! Come back again.
Goodbye,I'll see you soon.
Au revoir,See you later.
Au revoir,Have a nice day.
Au revoir,Bye! Come back again.
Au revoir,I'll see you soon.
Sayonara,See you later.
Sayonara,Have a nice day.
Sayonara,Bye! Come back again.
Sayonara,I'll see you soon.
ok bye,See you later.
ok bye,Have a nice day.
ok bye,Bye! Come back again.
ok bye,I'll see you soon.
Bye then,See you later.
Bye then,Have a nice day.
Bye then,Bye! Come back again.
Bye then,I'll see you soon.
Fare thee well,See you later.
Fare thee well,Have a nice day.
Fare thee well,Bye! Come back again.
Fare thee well,I'll see you soon.
Thanks,Happy to help!
Thanks,Any time!
Thanks,My pleasure
Thanks,You're most welcome!
Thank you,Happy to help!
Thank you,Any time!
Thank you,My pleasure
Thank you,You're most welcome!
That's helpful,Happy to help!
That's helpful,Any time!
That's helpful,My pleasure
That's helpful,You're most welcome!
Thanks for the help,Happy to help!
Thanks for the help,Any time!
Thanks for the help,My pleasure
Thanks for the help,You're most welcome!
Than you very much,Happy to help!
Than you very much,Any time!
Than you very much,My pleasure
Than you very much,You're most welcome!
My name is ,Oh nice to meet you. Tell me how was your week?
My name is ,Nice to meet you. So tell me. How do you feel today?
My name is ,That's a great name. Tell me more about yourself.
I am name.,Oh nice to meet you. Tell me how was your week?
I am name.,Nice to meet you. So tell me. How do you feel today?
I am name.,That's a great name. Tell me more about yourself.
I go by ,Oh nice to meet you. Tell me how was your week?
I go by ,Nice to meet you. So tell me. How do you feel today?
I go by ,That's a great name. Tell me more about yourself.
hello,Hello! How are you today!
hello,Hey! What's up
hello,"Hey, How are you feeling today"
hey,Hello! How are you today!
hey,Hey! What's up
hey,"Hey, How are you feeling today"
hi,Hello! How are you today!
hi,Hey! What's up
hi,"Hey, How are you feeling today"
good day,Hello! How are you today!
good day,Hey! What's up
good day,"Hey, How are you feeling today"
greetings,Hello! How are you today!
greetings,Hey! What's up
greetings,"Hey, How are you feeling today"
what's up?,Hello! How are you today!
what's up?,Hey! What's up
what's up?,"Hey, How are you feeling today"
how is it going,Hello! How are you today!
how is it going,Hey! What's up
how is it going,"Hey, How are you feeling today"
cya,Talk to you later!
cya,Bye!
cya,Goodbye!
see you later,Talk to you later!
see you later,Bye!
see you later,Goodbye!
goodbye,Talk to you later!
goodbye,Bye!
goodbye,Goodbye!
Have a good day,Talk to you later!
Have a good day,Bye!
Have a good day,Goodbye!
bye,Talk to you later!
bye,Bye!
bye,Goodbye!
I am leaving,Talk to you later!
I am leaving,Bye!
I am leaving,Goodbye!
